id,family,scenario,event,true_probability,exact_fraction,derivation,valid,plain,explicit,reversed,noul,complement_inverted,numeric_correct,numeric_selected,complement_sum,order_difference,plain_error_pp,explicit_error_pp,reversed_error_pp,noul_error_pp,complement_inverted_error_pp
P001,coins,A fair coin is flipped 1 time(s). Flips are independent. No outcomes have been observed.,Exactly 1 of the 1 flips land heads.,0.5,1/2,"C(1,1) / 2^1 = 1/2",True,0.88,0.96,0.84,0.55,0.65,True,1/2,0.9,0.040000000000000036,38.0,46.0,34.0,5.000000000000004,15.000000000000002
P002,coins,A fair coin is flipped 1 time(s). Flips are independent. No outcomes have been observed.,Exactly 0 of the 1 flips land heads.,0.5,1/2,"C(1,0) / 2^1 = 1/2",True,0.84,0.95,0.77,0.42,0.5700000000000001,True,1/2,0.85,0.06999999999999995,34.0,44.99999999999999,27.0,-8.000000000000002,7.000000000000006
P003,coins,A fair coin is flipped 2 time(s). Flips are independent. No outcomes have been observed.,Exactly 0 of the 2 flips land heads.,0.25,1/4,"C(2,0) / 2^2 = 1/4",True,0.46,0.56,0.43,0.2,0.31000000000000005,True,1/4,0.8899999999999999,0.030000000000000027,21.000000000000004,31.000000000000007,18.0,-4.999999999999999,6.000000000000005
P004,coins,A fair coin is flipped 2 time(s). Flips are independent. No outcomes have been observed.,Exactly 1 of the 2 flips land heads.,0.5,1/2,"C(2,1) / 2^2 = 1/2",True,0.91,0.96,0.87,0.45,0.5800000000000001,True,1/2,0.87,0.040000000000000036,41.0,46.0,37.0,-4.999999999999999,8.000000000000007
P005,coins,A fair coin is flipped 2 time(s). Flips are independent. No outcomes have been observed.,Exactly 2 of the 2 flips land heads.,0.25,1/4,"C(2,2) / 2^2 = 1/4",True,0.23,0.38,0.19,0.13,0.19999999999999996,True,1/4,0.93,0.04000000000000001,-1.9999999999999991,13.0,-6.0,-12.0,-5.000000000000004
P006,coins,A fair coin is flipped 3 time(s). Flips are independent. No outcomes have been observed.,Exactly 1 of the 3 flips land heads.,0.375,3/8,"C(3,1) / 2^3 = 3/8",True,0.79,0.84,0.74,0.31,0.44999999999999996,True,3/8,0.8600000000000001,0.050000000000000044,41.5,46.5,36.5,-6.5,7.499999999999996
P007,coins,A fair coin is flipped 3 time(s). Flips are independent. No outcomes have been observed.,Exactly 2 of the 3 flips land heads.,0.375,3/8,"C(3,2) / 2^3 = 3/8",True,0.64,0.81,0.63,0.25,0.43999999999999995,True,3/8,0.81,0.010000000000000009,26.5,43.50000000000001,25.5,-12.5,6.499999999999995
P008,coins,A fair coin is flipped 4 time(s). Flips are independent. No outcomes have been observed.,Exactly 2 of the 4 flips land heads.,0.375,3/8,"C(4,2) / 2^4 = 3/8",True,0.81,0.91,0.75,0.33,0.49,True,3/8,0.8400000000000001,0.06000000000000005,43.50000000000001,53.5,37.5,-4.499999999999998,11.5
P009,coins,A fair coin is flipped 5 time(s). Flips are independent. No outcomes have been observed.,Exactly 0 of the 5 flips land heads.,0.03125,1/32,"C(5,0) / 2^5 = 1/32",True,0.27,0.38,0.24,0.09,0.13,True,1/32,0.96,0.030000000000000027,23.875,34.875,20.875,5.875,9.875
P010,coins,A fair coin is flipped 5 time(s). Flips are independent. No outcomes have been observed.,Exactly 3 of the 5 flips land heads.,0.3125,5/16,"C(5,3) / 2^5 = 5/16",True,0.54,0.73,0.5,0.23,0.33999999999999997,True,5/16,0.89,0.040000000000000036,22.750000000000004,41.75,18.75,-8.249999999999998,2.749999999999997
P011,coins,A fair coin is flipped 8 time(s). Flips are independent. No outcomes have been observed.,Exactly 4 of the 8 flips land heads.,0.2734375,35/128,"C(8,4) / 2^8 = 35/128",True,0.58,0.8,0.63,0.21,0.35,True,35/128,0.86,0.050000000000000044,30.656249999999996,52.65625000000001,35.65625,-6.343750000000001,7.656249999999998
P012,coins,A fair coin is flipped 10 time(s). Flips are independent. No outcomes have been observed.,Exactly 10 of the 10 flips land heads.,0.0009765625,1/1024,"C(10,10) / 2^10 = 1/1024",True,0.06,0.13,0.06,0.03,0.06000000000000005,True,1/1024,0.97,0.0,5.90234375,12.90234375,5.90234375,2.90234375,5.902343750000005
P013,biased_coins,A coin lands heads with probability 1/10 and tails otherwise. It is flipped 1 time(s) independently. No outcomes are observed.,Exactly 1 flips land heads.,0.1,1/10,"C(1,1)*(1/10)^1*(1-1/10)^0 = 1/10",True,0.57,0.82,0.47,0.16,0.17000000000000004,True,1/10,0.99,0.09999999999999998,47.0,72.0,37.0,6.0,7.0000000000000036
P014,biased_coins,A coin lands heads with probability 9/10 and tails otherwise. It is flipped 1 time(s) independently. No outcomes are observed.,Exactly 1 flips land heads.,0.9,9/10,"C(1,1)*(9/10)^1*(1-9/10)^0 = 9/10",True,0.88,0.98,0.83,0.8,0.83,True,9/10,0.9700000000000001,0.050000000000000044,-2.0000000000000018,7.9999999999999964,-7.000000000000006,-9.999999999999998,-7.000000000000006
P015,biased_coins,A coin lands heads with probability 1/4 and tails otherwise. It is flipped 2 time(s) independently. No outcomes are observed.,Exactly 2 flips land heads.,0.0625,1/16,"C(2,2)*(1/4)^2*(1-1/4)^0 = 1/16",True,0.11,0.24,0.11,0.07,0.10999999999999999,True,1/16,0.96,0.0,4.75,17.75,4.75,0.7500000000000007,4.749999999999998
P016,biased_coins,A coin lands heads with probability 3/4 and tails otherwise. It is flipped 2 time(s) independently. No outcomes are observed.,Exactly 1 flips land heads.,0.375,3/8,"C(2,1)*(3/4)^1*(1-3/4)^1 = 3/8",True,0.72,0.79,0.68,0.36,0.61,True,3/8,0.75,0.039999999999999925,34.5,41.5,30.500000000000004,-1.5000000000000013,23.5
P017,biased_coins,A coin lands heads with probability 1/5 and tails otherwise. It is flipped 3 time(s) independently. No outcomes are observed.,Exactly 0 flips land heads.,0.512,64/125,"C(3,0)*(1/5)^0*(1-1/5)^3 = 64/125",True,0.74,0.64,0.69,0.48,0.49,True,64/125,0.99,0.050000000000000044,22.799999999999997,12.8,17.799999999999994,-3.200000000000003,-2.200000000000002
P018,biased_coins,A coin lands heads with probability 4/5 and tails otherwise. It is flipped 3 time(s) independently. No outcomes are observed.,Exactly 2 flips land heads.,0.384,48/125,"C(3,2)*(4/5)^2*(1-4/5)^1 = 48/125",True,0.53,0.71,0.58,0.28,0.53,True,48/125,0.75,0.04999999999999993,14.600000000000001,32.599999999999994,19.599999999999994,-10.399999999999999,14.600000000000001
P019,dice,Two fair six-sided dice numbered 1 through 6 are rolled independently. Neither result is observed.,The sum is 2.,0.027777777777777776,1/36,Enumerate 36 ordered pairs; 1 satisfy the event.,True,0.07,0.16,0.06,0.05,0.06999999999999995,True,1/36,0.9800000000000001,0.010000000000000009,4.222222222222223,13.222222222222225,3.2222222222222223,2.2222222222222228,4.222222222222218
P020,dice,Two fair six-sided dice numbered 1 through 6 are rolled independently. Neither result is observed.,The sum is 7.,0.16666666666666666,1/6,Enumerate 36 ordered pairs; 6 satisfy the event.,True,0.49,0.74,0.54,0.2,0.33999999999999997,True,1/6,0.8600000000000001,0.050000000000000044,32.333333333333336,57.333333333333336,37.33333333333334,3.3333333333333353,17.333333333333332
P021,dice,Two fair six-sided dice numbered 1 through 6 are rolled independently. Neither result is observed.,The sum is at least 10.,0.16666666666666666,1/6,Enumerate 36 ordered pairs; 6 satisfy the event.,True,0.2,0.09,0.16,0.17,0.22999999999999998,True,1/6,0.9400000000000001,0.04000000000000001,3.3333333333333353,-7.666666666666666,-0.6666666666666654,0.3333333333333355,6.333333333333332
P022,dice,Two fair six-sided dice numbered 1 through 6 are rolled independently. Neither result is observed.,Both dice show the same number.,0.16666666666666666,1/6,Enumerate 36 ordered pairs; 6 satisfy the event.,True,0.15,0.38,0.17,0.17,0.20999999999999996,True,1/6,0.9600000000000001,0.020000000000000018,-1.6666666666666663,21.333333333333336,0.3333333333333355,0.3333333333333355,4.33333333333333
P023,dice,Two fair six-sided dice numbered 1 through 6 are rolled independently. Neither result is observed.,At least one die shows 6.,0.3055555555555556,11/36,Enumerate 36 ordered pairs; 11 satisfy the event.,True,0.41,0.51,0.4,0.2,0.26,True,11/36,0.94,0.009999999999999953,10.44444444444444,20.444444444444443,9.444444444444445,-10.555555555555557,-4.555555555555557
P024,dice,Two fair six-sided dice numbered 1 through 6 are rolled independently. Neither result is observed.,The sum is even.,0.5,1/2,Enumerate 36 ordered pairs; 18 satisfy the event.,True,0.97,0.99,0.94,0.55,0.6799999999999999,True,1/2,0.8700000000000001,0.030000000000000027,47.0,49.0,43.99999999999999,5.000000000000004,17.999999999999993
P025,dice,Two fair six-sided dice numbered 1 through 6 are rolled independently. Neither result is observed.,The first die is greater than the second.,0.4166666666666667,5/12,Enumerate 36 ordered pairs; 15 satisfy the event.,True,0.61,0.76,0.69,0.38,0.51,True,5/12,0.87,0.07999999999999996,19.33333333333333,34.333333333333336,27.333333333333325,-3.666666666666668,9.333333333333332
P026,dice,Two fair six-sided dice numbered 1 through 6 are rolled independently. Neither result is observed.,The product is odd.,0.25,1/4,Enumerate 36 ordered pairs; 9 satisfy the event.,True,0.24,0.3,0.25,0.21,0.31000000000000005,True,1/4,0.8999999999999999,0.010000000000000009,-1.0000000000000009,4.999999999999999,0.0,-4.000000000000001,6.000000000000005
P027,dice,Two fair six-sided dice numbered 1 through 6 are rolled independently. Neither result is observed.,The sum is 13.,0.0,0,Enumerate 36 ordered pairs; 0 satisfy the event.,True,0.01,0.02,0.01,0.02,0.020000000000000018,True,0,1.0,0.0,1.0,2.0,1.0,2.0,2.0000000000000018
P028,dice,Two fair six-sided dice numbered 1 through 6 are rolled independently. Neither result is observed.,The sum is between 2 and 12 inclusive.,1.0,1,Enumerate 36 ordered pairs; 36 satisfy the event.,True,1.0,1.0,1.0,0.99,0.99,True,1,1.0,0.0,0.0,0.0,0.0,-1.0000000000000009,-1.0000000000000009
P029,cards,One card is drawn uniformly from a standard 52-card deck with no jokers. The card is not observed.,The card is a heart.,0.25,1/4,Enumerate 52 cards; 13 satisfy the event.,True,0.69,0.89,0.71,0.23,0.26,True,1/4,0.97,0.020000000000000018,43.99999999999999,64.0,46.0,-1.9999999999999991,1.0000000000000009
P030,cards,One card is drawn uniformly from a standard 52-card deck with no jokers. The card is not observed.,The card is red.,0.5,1/2,Enumerate 52 cards; 26 satisfy the event.,True,0.93,0.96,0.9,0.49,0.5800000000000001,True,1/2,0.9099999999999999,0.030000000000000027,43.00000000000001,46.0,40.0,-1.0000000000000009,8.000000000000007
