case,scenario,variant,outcome,exact_probability,raw_jev_probability,raw_sum,normalized_jev_probability
P061,A fair coin is flipped once. No result has been observed.,plain,heads,0.5,0.94,1.0,0.94
P061,A fair coin is flipped once. No result has been observed.,plain,tails,0.5,0.06,1.0,0.06
P061,A fair coin is flipped once. No result has been observed.,explicit,heads,0.5,0.97,1.0,0.97
P061,A fair coin is flipped once. No result has been observed.,explicit,tails,0.5,0.03,1.0,0.03
P061,A fair coin is flipped once. No result has been observed.,reversed,heads,0.5,0.93,1.0,0.93
P061,A fair coin is flipped once. No result has been observed.,reversed,tails,0.5,0.07,1.0,0.07
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,plain,face_2,0.16666666666666666,0.02,1.0,0.02
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,plain,face_1,0.16666666666666666,0.78,1.0,0.78
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,plain,face_4,0.16666666666666666,0.06,1.0,0.06
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,plain,face_3,0.16666666666666666,0.09,1.0,0.09
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,plain,face_6,0.16666666666666666,0.04,1.0,0.04
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,plain,face_5,0.16666666666666666,0.01,1.0,0.01
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,explicit,face_2,0.16666666666666666,0.01,1.0,0.01
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,explicit,face_1,0.16666666666666666,0.87,1.0,0.87
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,explicit,face_4,0.16666666666666666,0.04,1.0,0.04
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,explicit,face_3,0.16666666666666666,0.06,1.0,0.06
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,explicit,face_6,0.16666666666666666,0.02,1.0,0.02
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,explicit,face_5,0.16666666666666666,0.0,1.0,0.0
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,reversed,face_2,0.16666666666666666,0.02,1.0,0.02
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,reversed,face_1,0.16666666666666666,0.77,1.0,0.77
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,reversed,face_4,0.16666666666666666,0.04,1.0,0.04
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,reversed,face_3,0.16666666666666666,0.11,1.0,0.11
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,reversed,face_6,0.16666666666666666,0.04,1.0,0.04
P062,A fair six-sided die numbered 1 through 6 is rolled. No result has been observed.,reversed,face_5,0.16666666666666666,0.02,1.0,0.02
P063,One card is drawn uniformly from a standard 52-card deck. No card is observed.,plain,hearts,0.25,0.65,1.0,0.65
P063,One card is drawn uniformly from a standard 52-card deck. No card is observed.,plain,spades,0.25,0.2,1.0,0.2
